Stn Code,Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
56,January - M011990,Delhi,Delhi,Central Pollution Control Board,Industrial Area,4.1,27.6,NA,398
57,January - M011990,Delhi,Delhi,Central Pollution Control Board,Industrial Area,3.1,23.6,NA,434
60,January - M011990,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",3.8,9.7,NA,269
59,January - M011990,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",3.5,9.4,NA,252
55,January - M011990,Delhi,Delhi,Central Pollution Control Board,Industrial Area,13.8,15,NA,297
58,January - M011990,Delhi,Delhi,Central Pollution Control Board,Industrial Area,9.4,20.7,NA,293
144,January - M011990,Delhi,Delhi,NA,"Residential, Rural and other Areas",34.2,52.1,NA,263
145,January - M011990,Delhi,Delhi,NA,Industrial Area,21.7,36,NA,277
146,January - M011990,Delhi,Delhi,NA,"Residential, Rural and other Areas",44.3,56.7,NA,393
56,February - M021990,Delhi,Delhi,Central Pollution Control Board,Industrial Area,16.9,37.4,NA,394
57,February - M021990,Delhi,Delhi,Central Pollution Control Board,Industrial Area,3.4,17.2,NA,374
60,February - M021990,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",3.8,10.9,NA,288
59,February - M021990,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",3.4,11,NA,273
55,February - M021990,Delhi,Delhi,Central Pollution Control Board,Industrial Area,11.4,15.9,NA,256
58,February - M021990,Delhi,Delhi,Central Pollution Control Board,Industrial Area,44.2,43.9,NA,344
144,February - M021990,Delhi,Delhi,NA,"Residential, Rural and other Areas",29.5,47.5,NA,261
145,February - M021990,Delhi,Delhi,NA,Industrial Area,41.3,36.5,NA,264
146,February - M021990,Delhi,Delhi,NA,"Residential, Rural and other Areas",23.5,39.6,NA,424
56,March - M031990,Delhi,Delhi,Central Pollution Control Board,Industrial Area,9.7,29.1,NA,349
57,March - M031990,Delhi,Delhi,Central Pollution Control Board,Industrial Area,3.6,22.4,NA,470
60,March - M031990,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",5.8,15,NA,300
59,March - M031990,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",3.8,20.1,NA,282
55,March - M031990,Delhi,Delhi,Central Pollution Control Board,Industrial Area,5,15,NA,295
58,March - M031990,Delhi,Delhi,Central Pollution Control Board,Industrial Area,57.9,34.8,NA,330
144,March - M031990,Delhi,Delhi,NA,"Residential, Rural and other Areas",19.4,38,NA,294
145,March - M031990,Delhi,Delhi,NA,Industrial Area,56,56.5,NA,412
146,March - M031990,Delhi,Delhi,NA,"Residential, Rural and other Areas",33.5,40.8,NA,344
56,April - M041990,Delhi,Delhi,Central Pollution Control Board,Industrial Area,4.2,36,NA,408
57,April - M041990,Delhi,Delhi,Central Pollution Control Board,Industrial Area,3.6,31.6,NA,525
60,April - M041990,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",11.1,26.1,NA,380
59,April - M041990,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",5.7,16.6,NA,358
55,April - M041990,Delhi,Delhi,Central Pollution Control Board,Industrial Area,5.1,15.5,NA,272
58,April - M041990,Delhi,Delhi,Central Pollution Control Board,Industrial Area,20.1,18.9,NA,452
144,April - M041990,Delhi,Delhi,NA,"Residential, Rural and other Areas",27.3,30.3,NA,305
145,April - M041990,Delhi,Delhi,NA,Industrial Area,43,36.4,NA,494
146,April - M041990,Delhi,Delhi,NA,"Residential, Rural and other Areas",49.7,45.1,NA,484
56,May - M051990,Delhi,Delhi,Central Pollution Control Board,Industrial Area,3.1,11.6,NA,443
57,May - M051990,Delhi,Delhi,Central Pollution Control Board,Industrial Area,4.1,29,NA,604
60,May - M051990,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",9.2,25.1,NA,433
59,May - M051990,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",8.6,31,NA,446
55,May - M051990,Delhi,Delhi,Central Pollution Control Board,Industrial Area,4.6,15,NA,474
58,May - M051990,Delhi,Delhi,Central Pollution Control Board,Industrial Area,7.6,16.7,NA,357
144,May - M051990,Delhi,Delhi,NA,"Residential, Rural and other Areas",15.4,43.3,NA,650
145,May - M051990,Delhi,Delhi,NA,Industrial Area,50,69.7,NA,776
146,May - M051990,Delhi,Delhi,NA,"Residential, Rural and other Areas",38.5,66.3,NA,954
56,June - M061990,Delhi,Delhi,Central Pollution Control Board,Industrial Area,7.4,17.6,NA,523
57,June - M061990,Delhi,Delhi,Central Pollution Control Board,Industrial Area,11.4,20.1,NA,509
60,June - M061990,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",8.1,21.8,NA,383
59,June - M061990,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",8.1,34.9,NA,489
55,June - M061990,Delhi,Delhi,Central Pollution Control Board,Industrial Area,5.8,17.4,NA,398
58,June - M061990,Delhi,Delhi,Central Pollution Control Board,Industrial Area,14.3,12.3,NA,415
144,June - M061990,Delhi,Delhi,NA,"Residential, Rural and other Areas",11.3,24.7,NA,800
145,June - M061990,Delhi,Delhi,NA,Industrial Area,21.8,35.2,NA,905
146,June - M061990,Delhi,Delhi,NA,"Residential, Rural and other Areas",32.9,44.7,NA,988
56,July - M071990,Delhi,Delhi,Central Pollution Control Board,Industrial Area,3.5,27.9,NA,180
