Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Type of Location,SO2,NO2,RSPM/PM10,SPM
1/2/2008,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,25.4,96.9,374,663
1/3/2008,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,20.3,115.4,406,673
1/8/2008,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,32.4,115,323,607
1/9/2008,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,16.2,114.4,267,469
15/1/2008,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,28.2,80.3,267,484
16/1/2008,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,34.9,91.7,287,519
22/1/2008,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,22.4,86.3,282,507
23/1/2008,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,23.6,105.9,175,380
2/5/2008,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,16.1,68.8,328,601
2/6/2008,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,26.9,110.7,275,520
2/12/2008,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,21.3,62.6,208,450
13/2/2008,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,18,80.5,216,510
23/2/2008,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,26.4,85.7,272,707
24/2/2008,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,25.8,56.1,264,695
25/2/2008,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,13.8,50.4,213,595
26/2/2008,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,22.1,73.9,304,574
3/4/2008,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,24,129.8,344,751
3/5/2008,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,23.8,109.3,349,652
3/11/2008,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,20.9,47.3,205,528
3/12/2008,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,21.1,58.2,249,548
25/3/2008,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,22.7,81.7,359,592
26/3/2008,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,24.3,58,282,502
28/3/2008,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,23.4,82.3,236,659
29/3/2008,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,32,104.2,243,538
4/12/2008,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,19.9,89.6,288,449
13/4/2008,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,19.8,93.3,292,471
14/4/2008,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,24.6,71.1,266,436
17/4/2008,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,23.3,91.1,240,451
18/4/2008,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,23.6,85.4,251,509
23/4/2008,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,24.2,71.1,391,678
24/4/2008,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,30.8,88.4,270,515
