Stn Code,Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
56,January - M011997,Delhi,Delhi,Central Pollution Control Board,Industrial Area,15.9,23.7,NA,374
57,January - M011997,Delhi,Delhi,Central Pollution Control Board,Industrial Area,23.6,44.4,NA,371
58,January - M011997,Delhi,Delhi,Central Pollution Control Board,Industrial Area,13,27.4,NA,400
60,January - M011997,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",13.4,29.2,NA,429
55,January - M011997,Delhi,Delhi,Central Pollution Control Board,Industrial Area,18.9,39.2,NA,521
59,January - M011997,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",18.2,38.8,NA,378
145,January - M011997,Delhi,Delhi,NA,Industrial Area,18.8,65.8,NA,732
146,January - M011997,Delhi,Delhi,NA,"Residential, Rural and other Areas",23.1,64.3,NA,778
144,January - M011997,Delhi,Delhi,NA,"Residential, Rural and other Areas",12.8,55.2,NA,401
59,February - M021997,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",15.8,39.2,NA,476
60,February - M021997,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",15.2,30.5,NA,386
57,February - M021997,Delhi,Delhi,Central Pollution Control Board,Industrial Area,26.7,48.4,NA,311
58,February - M021997,Delhi,Delhi,Central Pollution Control Board,Industrial Area,21.6,29.4,NA,308
55,February - M021997,Delhi,Delhi,Central Pollution Control Board,Industrial Area,16.1,39.1,NA,471
56,February - M021997,Delhi,Delhi,Central Pollution Control Board,Industrial Area,14.6,25.5,NA,310
145,February - M021997,Delhi,Delhi,NA,Industrial Area,21.6,36.7,NA,598
146,February - M021997,Delhi,Delhi,NA,"Residential, Rural and other Areas",25.4,37.9,NA,519
144,February - M021997,Delhi,Delhi,NA,"Residential, Rural and other Areas",12.7,43,NA,329
59,March - M031997,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",17.2,39.1,NA,410
55,March - M031997,Delhi,Delhi,Central Pollution Control Board,Industrial Area,17.6,39.1,NA,356
57,March - M031997,Delhi,Delhi,Central Pollution Control Board,Industrial Area,23.5,44.9,NA,278
56,March - M031997,Delhi,Delhi,Central Pollution Control Board,Industrial Area,13.2,23.5,NA,289
60,March - M031997,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",15.7,29.3,NA,421
58,March - M031997,Delhi,Delhi,Central Pollution Control Board,Industrial Area,14.3,31.7,NA,306
145,March - M031997,Delhi,Delhi,NA,Industrial Area,39.7,38.8,NA,260
146,March - M031997,Delhi,Delhi,NA,"Residential, Rural and other Areas",40,45.5,NA,314
