Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Type of Location,SO2,NO2,RSPM/PM10,SPM
13/1/2009,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,13.2,70,468,828
14/1/2009,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,18.8,89.5,344,628
15/1/2009,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,16.7,89.3,426,796
20/1/2009,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,9.7,49,194,390
21/1/2009,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,16.7,62.3,206,437
27/1/2009,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,23.5,60.7,279,453
28/1/2009,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,16.8,69.8,304,513
29/1/2009,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,19.3,85,304,575
2/3/2009,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,11.3,106.7,371,744
2/4/2009,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,15.3,96.8,439,748
2/5/2009,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,10.5,103,312,552
2/10/2009,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,17,44.8,192,391
2/11/2009,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,16.8,46.2,171,317
21/2/2009,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,10.3,48.2,229,437
22/2/2009,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,4.7,49.2,239,540
23/2/2009,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,12.2,89.8,354,673
3/12/2009,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,3.5,53.3,276,427
13/3/2009,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,16.3,84.2,294,456
14/3/2009,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,12,88.2,365,667
25/3/2009,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,16.7,55,267,437
26/3/2009,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,15.7,62.7,167,352
27/3/2009,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,14.5,67.5,243,411
